title,year,audience_score,critics_score
apartment 7a,2024,6.5,4.5
ash,2025,5.3,7.1
furiosa,2024,8.8,9.0
the addams family,2019,7.0,4.6
annihilation,2018,6.7,8.8
ghostbusters,2021,9.4,6.3
beau is afraid,2023,7.1,6.7
solo,2018,6.3,6.9
angel has fallen,2019,9.3,3.8
bones and all,2022,6.3,8.2
a haunting in venice,2023,7.6,7.6
el camino,2019,8.1,9.2
my old ass,2024,8.9,9.0
a cure for wellness,2016,4.2,4.2
american made,2017,7.9,8.5
air,2023,9.7,9.3
a star is born,2018,8.0,9.0
gran turismo,2023,9.8,6.5
a simple favor,2018,7.2,8.4
black adam,2022,8.7,3.9
am i ok,2022,6.2,8.1
aladdin,2019,9.4,5.7
guns  moses,2024,9.3,7.3
all the world is sleeping,2021,9.5,10.0
gretel  hansel,2020,2.3,6.3
how to blow up a pipeline,2022,6.6,9.5
in the land of saints and sinners,2023,7.4,8.3
another simple favor,2025,3.5,5.9
a family affair,2024,3.1,3.6
alone,2020,5.5,9.3
jane austen wrecked my life,2024,8.5,8.3
the adam project,2022,7.3,6.8
a ghost story,2017,6.7,9.1
to kill a wolf,2024,9.6,10.0
a hero,2021,8.3,9.7
assassins creed,2016,4.2,1.8
azrael,2024,5.9,7.1
annabelle comes home,2019,7.0,6.4
alive,2020,6.3,8.8
afraid,2024,5.0,2.5
aquaman and the lost kingdom,2023,7.9,3.3
american fiction,2023,9.5,9.3
king arthur,2017,6.9,3.1
arctic,2018,7.8,9.1
hell of a summer,2023,5.3,4.9
holmes  watson,2018,2.6,1.0
atomic blonde,2017,6.4,7.9
fantastic beasts and where to find them,2016,7.9,7.4
alita,2019,9.1,6.1
love and monsters,2020,8.9,9.4
wendell  wild,2022,6.4,8.0
birds of prey and the fantabulous emancipation of one harley quinn,2020,7.8,7.9
the night eats the world,2018,5.2,8.7
jerry  marge go large,2022,7.9,6.7
animal,2023,8.1,2.6
anna,2019,8.1,3.4
ad vitam,2025,3.3,4.3
the vast of night,2019,6.6,9.2
abducted in plain sight,2017,7.4,7.4
a classic horror story,2021,3.5,5.5
stay the night,2022,7.7,8.8
apollo 11,2019,9.0,9.9
i care a lot,2020,3.6,7.9
memoir of a snail,2024,8.2,9.5
anything for jackson,2020,7.1,9.7
werewolf by night,2022,8.9,9.0
kubo and the two strings,2016,8.6,9.7
